"","p.05","p.50","p.95","ex.05","ex.50","ex.95"
"X151",9.02992514949886,12.0316791772601,15.1967982815435,1.76242179256886,4.7641758203301,7.9292949246135
"X152",8.88284197176137,11.9872176117418,15.0684342964276,2.41684618319137,5.52122182317175,8.60243850785765
"X153",6.25958037808215,9.15415902316149,11.8971948384978,-1.58897614046785,1.30560250461149,4.04863831994781
"X154",8.99533979387151,12.2154107143764,15.1902820734142,0.697704906171511,3.91777582667645,6.89264718571416
"X155",14.2649905150416,17.9386923280169,21.645922502898,6.94455670767159,10.6182585206469,14.325488695528
"X156",9.02667232433666,12.223175184387,15.2309073011647,2.18174358287666,5.378246442927,8.3859785597047
"X157",9.00294628973703,12.2272672436523,15.2058358847722,1.39626141424703,4.62058236816235,7.59915100928218
"X158",14.4436747765452,18.2597126147935,22.0082904443761,8.27106582879521,12.0871036670435,15.8356814966261
"X159",14.1672261429527,17.7187518828991,21.4513600783508,3.68609516150266,7.2376209014491,10.9702290969008
"X160",6.12170447445738,8.90563939658463,11.6006146821174,-8.28351403140262,-5.49957910927538,-2.80460382374265
"X161",9.02239242902834,12.2022706049848,15.2685819362207,1.43178726545834,4.6116654414148,7.67797677265073
"X162",14.2392680672716,17.8590897457837,21.7227838418709,4.62393069544157,8.2437523739537,12.1074464700409
"X163",9.4699182342368,12.4691700740337,15.7516747775397,2.9068361114368,5.9060879512337,9.1885926547397
"X164",8.94648480626922,12.1035235677707,15.281132835531,1.97355313512922,5.1305918966307,8.30820116439095
"X165",9.26900644526782,12.3072347167237,15.2934740162342,2.30349359736782,5.3417218688237,8.32796116833419
"X166",6.26833890759223,9.09858760290106,11.7370670012725,-0.208089315067767,2.62215938024106,5.26063877861254
"X167",6.71867271095719,9.58025901751626,12.2384763477161,1.14449325233719,4.00607955889626,6.66429688909608
"X168",8.92505584305627,12.0649071178459,14.9305841168513,0.526522975626269,3.66637425041595,6.53205124942134
"X169",8.69002315187107,12.0675750661503,14.8873058077507,0.0747346081710649,3.4522865224503,6.27201726405066
"X170",6.51544392594395,9.46729161833239,12.1279426945336,-1.61083018294605,1.34101750944239,4.00166858564357
"X171",14.5357222199835,18.3405386950996,22.3586025833966,5.3980536103635,9.2028700854796,13.2209339737766
"X172",14.0250987325775,18.0045826815189,22.0894087147357,5.17473862515751,9.15422257409885,13.2390486073157
"X173",14.15344541631,17.8674536905632,21.800931789061,2.50249555668996,6.2165038309432,10.149981929441
"X174",14.3021510832925,18.0111479616497,21.6656381962796,3.85094487601253,7.55994175436975,11.2144319889996
"X175",14.0502491395921,17.9600664730098,22.2474000709365,4.17641262226209,8.08622995567975,12.3735635536065
"X176",14.0966573560478,17.9990717850145,21.8233548647717,1.18368585946785,5.08610028843445,8.91038336819166
"X177",8.79737665034222,11.904603969841,14.9220012441932,-2.87302358769778,0.234203731801051,3.25160100615317
"X178",6.63502742312766,9.564406544632,12.3471654396097,-0.65753315426234,2.271845967242,5.05460486221967
"X179",9.6980262355215,12.8865334470937,15.9792447143815,4.0323836879115,7.2208908994837,10.3136021667715
"X180",24.7858096003142,28.8711133097221,32.5284457667538,18.6167178034342,22.7020215128421,26.3593539698738
"X181",15.1162326021458,19.0663283219819,22.9364684695493,9.06306564047576,13.0131613603119,16.8833015078793
"X182",15.4080887391866,19.1135545566895,23.1317165672976,10.2336102083066,13.9390760258095,17.9572380364176
"X183",14.5157140941841,18.3027491653388,22.3011687070784,6.45860044672413,10.2456355178788,14.2440550596184
"X184",9.58817307459947,12.7644419457125,15.7645168024954,2.05814301478947,5.2344118859025,8.23448674268538
