"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq"
"85","D01-04","CRU",7.732252852,3.257588897,"jack pine",18.81149529,21.6718836,11.12681459,11.12681459,113.3783875,11.33783875,113.3783875,40.75109863,15.41294861,-0.211024159999999,7.521228692,40.7510986328,4.07510986328
"86","D01-05","CRU",8.488238956,4.097369513,"jack pine",22.70759472,25.56798303,15.02291402,15.02291402,108.2470474,10.82470474,108.2470474,32.8943367,14.11413841,4.19820928,12.686448236,32.8943367004,3.28943367004
"87","D01-06","CRU",8.380705297,4.024649131,"jack pine",21.10694135,23.96732965,13.42226064,13.42226064,132.2225647,13.22225647,132.2225647,34.21749115,16.64400558,0.20000417,8.580709467,34.2174911499,3.42174911499
"88","D01-07","CRU",6.986462114,2.661108808,"jack pine",29.01714955,31.87753786,21.33246885,21.33246885,103.798912,10.3798912,103.798912,47.10741043,15.09063225,10.95257765,17.939039764,47.1074104309,4.71074104309
"89","D02-01","CRU",10.19112225,5.042714508,"trembling aspen",26.00153413,29.68872408,16.16183709,16.16183709,110.5925827,11.05925827,110.5925827,46.69010544,15.72826881,5.10257882,15.29370107,46.6901054382,4.66901054382
"90","D02-02","CRU",10.92806183,5.629580104,"trembling aspen",27.4966027,31.18379265,17.65690566,17.65690566,140.6990051,14.06990051,140.6990051,39.2024231,17.99014282,3.58700515,14.51506698,39.2024230957,3.92024230957
"91","D02-03","CRU",10.9141877,5.646470889,"trembling aspen",27.51565378,31.20284372,17.67595674,17.67595674,112.0087967,11.20087967,112.0087967,39.18538666,15.11941833,6.47507707,17.38926477,39.1853866577,3.91853866577
"92","D03-01","CRU",7.078065867,2.583582827,"jack pine",23.44216604,26.30255434,15.75748534,15.75748534,113.6841812,11.36841812,113.6841812,47.360569,16.10447502,4.38906722,11.467133087,47.3605690002,4.73605690002
"93","D03-02","CRU",7.85659765,3.374511154,"jack pine",53.28956907,56.14995738,45.60488837,45.60488837,100.8267822,10.08267822,100.8267822,40.05480576,14.0881588,35.52221015,43.3788078,40.0548057556,4.00548057556
"94","D03-03","CRU",10.01686031,4.666547404,"trembling aspen",28.09059448,31.77778443,18.25089744,18.25089744,114.1114502,11.41114502,114.1114502,47.59305573,16.17045059,6.83975242,16.85661273,47.5930557251,4.75930557251
"95","D03-04","CRU",7.617920238,3.22338139,"jack pine",60.11422984,62.97461814,52.42954914,52.42954914,96.49942017,9.649942017,96.49942017,41.88081741,13.83802376,42.779607123,50.397527361,41.8808174133,4.18808174133
"96","D04-02","CRU",8.037948376,3.35383486,"jack pine",25.97963721,28.84002552,18.29495651,18.29495651,94.66950226,9.466950226,94.66950226,39.62115479,13.4290657,8.828006284,16.86595466,39.6211547852,3.96211547852
"97","D04-03","CRU",8.614742915,4.170403075,"jack pine",28.91215463,31.77254293,21.22747393,21.22747393,100.9191971,10.09191971,100.9191971,31.60629463,13.25254917,11.13555422,19.750297135,31.606294632,3.1606294632
"98","D04-04","CRU",8.107852587,3.732142718,"jack pine",33.8608995,36.72128781,26.1762188,26.1762188,109.190361,10.9190361,109.190361,36.8367691,14.60271301,15.2571827,23.365035287,36.836769104,3.6836769104
"99","D04-05","CRU",14.6601421,NA,"black spruce",51.31965916,49.87765916,33.10607844,33.10607844,115.0226059,11.50226059,115.0226059,35.11781693,15.01404228,21.60381785,36.26395995,35.117816925,3.5117816925
"100","D04-06","CRU",14.77079806,NA,"black spruce",76.82528829,75.38328829,58.61170757,58.61170757,122.5089951,12.25089951,122.5089951,34.56833649,15.70773315,46.36080806,61.13160612,34.5683364868,3.45683364868
"101","D04-07","CRU",11.32949274,5.99602319,"trembling aspen",72.17557342,75.86276337,62.33587638,62.33587638,92.94932556,9.294932556,92.94932556,35.10302353,12.80523491,53.040943824,64.370436564,35.1030235291,3.51030235291
"102","D04-08","CRU",11.54297771,6.152037698,"trembling aspen",99.85676873,103.5439587,90.01707169,90.01707169,94.67542267,9.467542267,94.67542267,34.70108414,12.93765068,80.549529423,92.092507133,34.701084137,3.4701084137
"103","D04-09","CRU",11.22412168,5.9448767,"trembling aspen",51.95842438,55.64561433,42.11872734,42.11872734,84.16905975,8.416905975,84.16905975,36.22159195,12.03906517,33.701821365,44.925943045,36.2215919495,3.62215919495
"104","D04-11","CRU",8.370842935,3.834615973,"jack pine",127.9741605,130.8345488,120.2894798,120.2894798,106.2649765,10.62649765,106.2649765,35.23275375,14.14977303,109.66298215,118.033825085,35.2327537537,3.52327537537
"105","D04-12","CRU",10.27938141,5.053883993,"trembling aspen",59.44955158,63.13674153,49.60985454,49.60985454,88.22473145,8.822473145,88.22473145,46.03491974,13.42596512,40.787381395,51.066762805,46.0349197388,4.60349197388
"106","D04-13","CRU",7.914736054,3.383853399,"jack pine",41.55422555,44.41461386,33.86954485,33.86954485,115.6781235,11.56781235,115.6781235,39.42047119,15.50985947,22.3017325,30.216468554,39.4204711914,3.94204711914
"107","D04-14","CRU",11.766044,6.341059119,"trembling aspen",31.66181697,35.34900692,21.82211993,21.82211993,104.5196228,10.45196228,104.5196228,32.15295029,13.66725731,11.37015765,23.13620165,32.1529502869,3.21529502869
"108","D05-01","CRU",7.676532119,3.101080083,"jack pine",21.9117085,24.77209681,14.2270278,14.2270278,111.1638947,11.11638947,111.1638947,42.5634079,15.37273026,3.11063833,10.787170449,42.5634078979,4.25634078979
"109","D05-02","CRU",8.409207262,4.009624437,"jack pine",24.06764578,26.92803408,16.38296508,16.38296508,95.84055328,9.584055328,95.84055328,34.15731812,12.99978714,6.798909752,15.208117014,34.1573181152,3.41573181152
"110","D05-03","CRU",14.63794248,NA,"black spruce",32.15476423,30.71276423,13.94118351,13.94118351,107.2042236,10.72042236,107.2042236,33.90529633,14.110952,3.22076115,17.85870363,33.9052963257,3.39052963257
"111","D05-04","CRU",14.34791154,NA,"black spruce",32.87685377,31.43485377,14.66327306,14.66327306,98.3859787,9.83859787,98.3859787,37.3550415,13.57410202,4.82467519,19.17258673,37.3550415039,3.73550415039
"112","D05-05","CRU",8.739282911,4.193147749,"jack pine",22.22873196,25.08912027,14.54405126,14.54405126,83.45201874,8.345201874,83.45201874,31.56291962,11.50149384,6.198849386,14.938132297,31.5629196167,3.15629196167
"113","D06-01","CRU",8.92879376,4.43155116,"jack pine",23.81742199,26.67781029,16.13274129,16.13274129,77.48623657,7.748623657,77.48623657,29.37107849,10.68573151,8.384117633,17.312911393,29.3710784912,2.93710784912
"114","D06-02","CRU",11.89630759,6.762423467,"trembling aspen",29.76338029,33.45057024,19.92368325,19.92368325,72.16687012,7.216687012,72.16687012,28.2939949,10.0460865,12.706996238,24.603303828,28.2939949036,2.82939949036
"115","D06-03","CRU",8.619308205,4.057489199,"jack pine",25.2037784,28.06416671,17.5190977,17.5190977,99.22116852,9.922116852,99.22116852,32.48061371,13.17017822,7.596980848,16.216289053,32.4806137085,3.24806137085
"116","D06-04","CRU",15.24006103,NA,"black spruce",40.36255211,38.92055211,22.14897139,22.14897139,96.43128204,9.643128204,96.43128204,29.03104019,12.54623222,12.505843186,27.745904216,29.0310401917,2.90310401917
"117","D06-05","CRU",8.925687257,4.50459592,"jack pine",31.2865433,34.1469316,23.60186259,23.60186259,87.43180084,8.743180084,87.43180084,29.13154602,11.65633469,14.858682506,23.784369763,29.1315460205,2.91315460205
